-------------------------------------------------------------------------------------------------------------
|                                              DescribeImages                                               |
+---------------------------+------------------------+------------------------------------------------------+
|       CreationDate        |          ID            |                        Name                          |
|  2019-12-13T08:53:55.000Z |  ami-0c8d3734ac06376e4 |  amazon-eks-gpu-node-1.13-v20191213                  |
|  2019-12-13T09:14:54.000Z |  ami-0c927b6bd36656446 |  amazon-eks-node-1.11-v20191213                      |
|  2019-07-02T01:03:13.000Z |  ami-0ccac9d9b57864000 |  amazon-eks-gpu-node-1.13-v20190701                  |
|  2019-12-13T09:20:13.000Z |  ami-0d0dcdc6bfdd148c7 |  amazon-eks-arm64-node-1.11-v20191213                |
|  2020-02-29T20:38:52.000Z |  ami-0d421ed89bf9aeb4d |  amazon-eks-gpu-node-1.12-v20200228                  |
|  2019-06-15T06:38:50.000Z |  ami-0d42763da2d0f9ed7 |  amazon-eks-gpu-node-1.11-v20190614                  |
|  2019-11-19T08:00:45.000Z |  ami-0d5051bfde507147f |  amazon-eks-gpu-node-1.11-v20191119                  |
|  2019-09-06T09:04:11.000Z |  ami-0d60b7264ed85e022 |  amazon-eks-node-1.12-v20190906                      |
|  2019-02-10T04:38:07.000Z |  ami-0d885462fa1a40e3a |  amazon-eks-node-1.10-v20190211                      |
|  2020-03-13T05:50:51.000Z |  ami-0d8da526be3cbb668 |  amazon-eks-arm64-node-1.12-v20200312                |
|  2020-03-13T04:58:29.000Z |  ami-0da2b71057dfd9557 |  amazon-eks-node-1.15-v20200312                      |
|  2019-09-28T10:53:40.000Z |  ami-0ded2597c4984f942 |  amazon-eks-node-1.12-v20190927                      |
|  2019-03-28T03:00:23.000Z |  ami-0e17dd7eeae729d78 |  amazon-eks-node-1.12-v20190327                      |
|  2020-02-29T20:33:34.000Z |  ami-0e2d68f32d63643f3 |  amazon-eks-arm64-node-1.12-v20200228                |
|  2019-12-13T09:04:32.000Z |  ami-0e37a3fa0e0e2d859 |  amazon-eks-arm64-node-1.12-v20191213                |
|  2020-02-13T01:49:24.000Z |  ami-0e4458dd9c6ab2d9c |  amazon-eks-gpu-node-1.14-v20200122                  |
|  2019-09-28T10:37:44.000Z |  ami-0e4512382d954f4ce |  amazon-eks-gpu-node-1.14-v20190927                  |
|  2019-08-14T12:00:04.000Z |  ami-0e565ff1ccb9b6979 |  amazon-eks-node-1.11-v20190814                      |
|  2019-03-28T02:44:48.000Z |  ami-0e6993a35aae3407b |  amazon-eks-gpu-node-1.11-v20190327                  |
|  2020-02-29T20:17:37.000Z |  ami-0e77a8d11d62fb1c3 |  amazon-eks-arm64-node-1.13-v20200228                |
|  2019-09-28T10:48:21.000Z |  ami-0e8a0d60963f1d3b1 |  amazon-eks-gpu-node-1.13-v20190927                  |
|  2019-06-15T06:42:58.000Z |  ami-0e8d353285e26a68c |  amazon-eks-node-1.12-v20190614                      |
|  2019-08-08T15:59:05.000Z |  ami-0ea4b11850e39ea45 |  amazon-eks-node-v1.11-windows-2019-Full-2019-08-06  |
|  2019-08-14T11:49:27.000Z |  ami-0ebb1c51e5fe9c376 |  amazon-eks-node-1.12-v20190814                      |
|  2019-04-24T00:16:44.000Z |  ami-0ef72f9111fdc5f97 |  amazon-eks-node-arm64-1.12-v20190423                |
|  2019-09-06T09:14:48.000Z |  ami-0f01aa60d08b56b51 |  amazon-eks-node-1.11-v20190906                      |
|  2019-12-11T07:45:52.000Z |  ami-0f04e26d6c1c509be |  amazon-eks-arm64-node-1.12-v20191211                |
|  2019-11-19T07:23:34.000Z |  ami-0f39927d333845796 |  amazon-eks-arm64-node-1.13-v20191119                |
|  2019-11-19T07:28:53.000Z |  ami-0f6097b9fd5af26b2 |  amazon-eks-gpu-node-1.13-v20191119                  |
|  2019-09-06T08:42:57.000Z |  ami-0f841722be384ed96 |  amazon-eks-node-1.14-v20190906                      |
|  2019-08-14T12:05:22.000Z |  ami-0f9e62727a55f68d3 |  amazon-eks-gpu-node-1.11-v20190814                  |
|  2020-02-13T02:21:17.000Z |  ami-0fa78f22a797670ab |  amazon-eks-gpu-node-1.12-v20200122                  |
|  2019-07-02T01:02:56.000Z |  ami-0fe61ae4c397e710d |  amazon-eks-node-1.12-v20190701                      |
+---------------------------+------------------------+------------------------------------------------------+
